Headquarter,Size,Founded,Type,Industry,Revenue,Employer,Job_Title,Basic_Pay,Avg_Pay,Rating,Positive,Negative,Neutral,Online,Campus,Refferal,City,Monthly
Finland,10000+ Employees,156.0,Public,Telecommunication/Television,$10+ billion (USD),Nokia,Data Scientist,400442.0,400442.0,4.1,75.0,8.0,17.0,34.0,22.0,19.0,Banglore,No
California,1001 to 5000 Employees,42.0,Private,Information Technology,$10+ billion (USD),Walmart Labs,Data Scientist,2193951.0,2193951.0,3.8,48.0,36.0,16.0,27.0,21.0,20.0,Banglore,No
California,1001 to 5000 Employees,65.0,Public,Information Technology,$500 million to $1 billion (USD),FICO,Data Scientist,1540275.0,1553585.0,3.9,70.0,13.0,16.0,34.0,26.0,19.0,Banglore,No
United Kingdom,10000+ Employees,32.0,Private,Banking/Finance,$10+ billion (USD),EY,Data Scientist,714628.0,714628.0,3.8,73.0,9.0,18.0,36.0,36.0,13.0,Banglore,No
New York,10000+ Employees,222.0,Public,Banking/Finance,$10+ billion (USD),J.P. Morgan,Data Scientist,1307420.0,1412667.0,4.0,64.0,12.0,23.0,56.0,19.0,9.0,Banglore,No
India,10000+ Employees,59.0,Public,General Merchandise & Superstores,$10+ billion (USD),Target,Data Scientist,1616955.0,1708331.0,4.3,67.0,13.0,21.0,64.0,12.0,10.0,Banglore,No
California,10000+ Employees,54.0,Public,Manufacturing,$10+ billion (USD),Applied Materials,Data Scientist,1232834.0,1297834.0,4.0,62.0,13.0,25.0,33.0,24.0,18.0,Banglore,No
India,1 to 50 Employees,6.0,Private,Information Technology,$25 to $50 million (USD),FlyNava Technologies,Data Scientist,712895.0,712895.0,3.7,40.0,40.0,20.0,67.0,33.0,13.633165829145726,Banglore,No
India,501 to 1000 Employees,29.0,Public,Information Technology,$25 to $50 million (USD),Subex,Data Scientist,1147214.0,1147214.0,3.5,71.0,13.0,16.0,29.0,25.0,17.0,Banglore,No
India,1001 to 5000 Employees,14.0,Private,Information Technology,$10+ billion (USD),Myntra,Data Scientist,1559044.0,1569249.0,4.1,53.0,31.0,15.0,25.0,20.0,18.0,Banglore,No
California,1001 to 5000 Employees,23.0,Private,Information Technology,$100 to $500 million (USD),Bristlecone,Data Scientist,75225.0,79763.0,3.9,58.0,26.0,16.0,21.0,21.0,19.0,Banglore,No
Texas,10000+ Employees,37.0,Public,Information Technology,$10+ billion (USD),Dell Technologies,Data Scientist,2037358.0,2037358.0,4.2,68.0,14.0,18.0,32.0,21.0,19.0,Banglore,No
Germany,10000+ Employees,49.0,Public,Information Technology,$10+ billion (USD),SAP,Data Scientist,1738110.0,1827052.0,4.5,72.0,14.0,14.0,51.0,20.0,13.0,Banglore,No
California,10000+ Employees,39.0,Public,Information Technology,$2 to $5 billion (USD),Adobe,Data Scientist,2821785.0,2821785.0,4.4,61.0,23.0,16.0,29.0,24.0,20.0,Banglore,No
India,51 to 200 Employees,8.0,Private,Information Technology,$2 to $5 billion (USD),Knowledge Lens,Data Scientist,47723.0,47723.0,4.1,56.0,25.0,19.0,47.0,20.0,13.0,Banglore,No
California,10000+ Employees,37.0,Private,Information Technology,$10+ billion (USD),Cisco Systems,Data Scientist,1476701.0,1476701.0,4.4,69.0,11.0,19.0,32.0,30.0,18.0,Banglore,No
Michigan,5001 to 10000 Employees,25.0,Private,Information Technology,$100 to $500 million (USD),Apexon,Data Scientist,904075.0,904075.0,4.4,77.0,17.0,5.0,34.0,30.0,10.0,Banglore,No
Indonesia,1001 to 5000 Employees,11.0,Private,Transportation,$10+ billion (USD),Gojek,Data Scientist,2364379.0,2299841.0,4.2,37.0,46.0,16.0,44.0,22.0,18.0,Banglore,No
India,10000+ Employees,29.0,Public,Information Technology,$1 to $2 billion (USD),Mphasis,Data Scientist,1044854.5,859539.0,3.6,69.0,15.0,16.0,35.0,17.0,15.0,Banglore,No
India,1001 to 5000 Employees,21.0,Private,Consulting,$100 to $500 million (USD),Course5 Intelligence,Data Scientist,951524.5,806457.0,3.4,77.0,16.0,6.0,43.0,21.0,14.0,Banglore,No
India,10000+ Employees,65.0,Public,Telecommunication/Television,$10+ billion (USD),Bharti Airtel,Data Scientist,1627522.0,1883478.0,3.9,67.0,17.0,16.0,35.0,20.0,15.0,Banglore,No
Minnesota,10000+ Employees,44.0,Public,Healthcare Medicine,$10+ billion (USD),UnitedHealth Group,Data Scientist,7161020.5,1694620.0,3.6,59.0,21.0,20.0,62.0,10.0,9.0,Banglore,No
India,501 to 1000 Employees,17.0,Private,Information Technology,$50 to $100 million (USD),Manthan,Data Scientist,1561406.5,1226107.0,4.2,63.0,24.0,13.0,36.0,25.0,18.0,Banglore,No
Germany,10000+ Employees,135.0,Private,Information Technology,$10+ billion (USD),Robert Bosch,Data Scientist,1317606.0,1153717.0,4.2,75.0,9.0,16.0,49.0,24.0,9.0,Banglore,No
Michigan,1001 to 5000 Employees,9.0,Private,Information Technology,$10+ billion (USD),Altimetrik,Data Scientist,484906.5,550000.0,4.1,49.0,40.0,11.0,33.0,23.0,23.0,Banglore,No
India,1 to 50 Employees,5.0,Private,Information Technology,$25 to $50 million (USD),Artificial Learning Systems,Data Scientist,1119202.5,1099358.0,2.7,63.94645441389291,25.77729257641921,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
India,1 to 50 Employees,5.0,Private,Consulting,$25 to $50 million (USD),NeenOpal,Data Scientist,501132.5,405433.0,4.9,100.0,100.0,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
United Kingdom,10000+ Employees,115.0,Public,Government Agencies,$10+ billion (USD),Rolls-Royce,Data Scientist,1336121.0,1326575.0,3.4,76.0,9.0,15.0,73.0,14.0,4.0,Banglore,No
California,10000+ Employees,23.0,Public,Information Technology,$5 to $10 billion (USD),VMware,Data Scientist,1665051.0,1734752.0,4.3,61.0,23.0,16.0,33.0,21.0,21.0,Banglore,No
India,51 to 200 Employees,6.0,Private,Education,$25 to $50 million (USD),INSOFE,Data Scientist,711657.0,663288.0,3.4,100.0,50.0,50.0,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
India,1 to 50 Employees,4.0,Private,Information Technology,Less than $1 million (USD),Artivatic Data Labs,Data Scientist,612581.5,516960.0,2.3,29.0,47.0,24.0,71.0,14.0,7.0,Banglore,No
New York,10000+ Employees,171.0,Public,Banking/Finance,$10+ billion (USD),American Express,Data Scientist,1730427.0,1789620.0,4.2,64.0,18.0,18.0,49.0,17.0,12.0,Banglore,No
India,10000+ Employees,178.0,Public,Manufacturing,$10+ billion (USD),Siemens,Data Scientist,963037.5,1046377.0,4.1,67.0,14.0,19.0,46.0,20.0,11.0,Banglore,No
India,10000+ Employees,28.0,Private,Banking/Finance,$10+ billion (USD),Axis Bank,Data Scientist,837365.5,1145245.0,3.5,70.0,11.0,20.0,36.0,30.0,13.0,Banglore,No
Ohio,10000+ Employees,22.0,Private,Transportation,$5 to $10 billion (USD),First Student,Data Scientist,30000.0,33333.0,4.1,62.0,8.0,30.0,36.0,36.0,12.0,Banglore,No
India,1 to 50 Employees,6.0,Private,Information Technology,$25 to $50 million (USD),Spoonshot,Data Scientist,1760268.5,1579077.0,5.0,100.0,100.0,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
California,51 to 200 Employees,11.0,Private,Information Technology,$10+ billion (USD),Bidgely,Data Scientist,1568110.0,1400000.0,3.4,57.0,31.0,12.0,25.0,23.0,20.0,Banglore,No
United Arab Emirates,10000+ Employees,48.0,Private,Manufacturing,$10+ billion (USD),Landmark Group,Data Scientist,1543358.0,1569565.0,3.7,56.0,25.0,19.0,29.0,23.0,17.0,Banglore,No
Texas,10000+ Employees,65.0,Public,Government Agencies,$5 to $10 billion (USD),Baker Hughes,Data Scientist,890000.0,1539101.0,3.7,60.0,16.0,23.0,75.0,9.0,6.0,Banglore,No
Virginia,501 to 1000 Employees,23.0,Private,Information Technology,$10+ billion (USD),Idexcel,Data Scientist,463939.0,459199.0,3.8,55.0,41.0,5.0,39.0,18.0,15.0,Banglore,No
New Joursey,51 to 200 Employees,13.0,Private,Outsource,$10 to $25 million (USD),iQuanti,Data Scientist,1670352.0,2000000.0,3.6,65.0,14.0,22.0,22.0,22.0,19.0,Banglore,No
California,51 to 200 Employees,4.0,Private,Information Technology,$1 to $5 million (USD),Draup,Data Scientist,1718752.5,1817154.0,4.3,63.0,25.0,13.0,50.0,13.0,13.0,Banglore,No
India,201 to 500 Employees,7.0,Private,Banking/Finance,$100 to $500 million (USD),Money View,Data Scientist,1597472.5,1530664.0,4.4,56.0,38.0,6.0,50.0,29.0,14.0,Banglore,No
India,10000+ Employees,65.0,Private,Banking/Finance,$10+ billion (USD),HDFC Standard Life Insurance,Data Scientist,1874852.0,1216299.0,3.8,73.0,8.0,19.0,28.0,26.0,13.0,Banglore,No
Singapore,201 to 500 Employees,6.0,Private,Information Technology,$100 to $500 million (USD),AntWorks,Data Scientist,10988249.5,1326575.0,3.3,50.0,50.0,29.0,29.0,29.0,13.633165829145726,Banglore,No
Minnesota,501 to 1000 Employees,30.0,Public,Healthcare Medicine,$10+ billion (USD),Optum,Data Scientist,1803328.5,1600000.0,3.7,66.0,19.0,15.0,37.0,32.0,11.0,Banglore,No
India,51 to 200 Employees,7.0,Private,Information Technology,$5 to $10 million (USD),Aptus Data Labs,Data Scientist,891966.0,1046377.0,3.8,43.0,29.0,29.0,71.0,14.0,14.0,Banglore,No
India,1 to 50 Employees,6.0,Private,Information Technology,Less than $1 million (USD),Reckonsys,Data Scientist,109458.5,109458.5,4.6,50.0,50.0,100.0,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
California,5001 to 10000 Employees,25.0,Public,Telecommunication/Television,$2 to $5 billion (USD),Juniper Networks,Data Scientist,2533488.0,2533488.0,3.9,65.0,18.0,17.0,35.0,24.0,16.0,Banglore,No
Ohio,1001 to 5000 Employees,104.0,Private,Government Agencies,$25 to $50 million (USD),GE Aviation,Data Scientist,1416543.5,1416543.5,3.7,74.0,9.0,17.0,42.0,34.0,9.0,Banglore,No
India,1 to 50 Employees,4.0,Private,Information Technology,$25 to $50 million (USD),SwitchOn,Data Scientist,689069.0,689069.0,4.7,67.0,33.0,67.0,33.0,21.65818759936407,13.633165829145726,Banglore,No
Virginia,1001 to 5000 Employees,25.0,Private,Information Technology,$500 million to $1 billion (USD),Neustar,Data Scientist,1823284.5,1823284.5,4.0,61.0,30.0,9.0,34.0,26.0,18.0,Banglore,No
India,5001 to 10000 Employees,34.0,Public,Information Technology,$25 to $50 million (USD),Datamatics Global Services,Data Scientist,1221744.0,1221744.0,3.3,49.0,29.0,22.0,34.0,16.0,13.0,Banglore,No
India,1 to 50 Employees,4.0,Private,Information Technology,$25 to $50 million (USD),Sumyag,Data Scientist,62560.5,62560.5,4.5,63.94645441389291,25.77729257641921,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
Luxembourg,10000+ Employees,2.0,Public,Outsource,$10+ billion (USD),Majorel,Data Scientist,111090.5,111090.5,3.4,68.0,12.0,19.0,68.0,15.0,7.0,Banglore,No
Morocco,10000+ Employees,129.0,Public,Manufacturing,$10+ billion (USD),GE,Data Scientist,1061205.0,1061205.0,3.9,70.0,10.0,21.0,48.0,25.0,10.0,Banglore,No
India,1 to 50 Employees,4.0,Private,Information Technology,$25 to $50 million (USD),Sumyag,Data Scientist,348232.0,348232.0,4.5,63.94645441389291,25.77729257641921,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
Hanover,1001 to 5000 Employees,38.0,Private,Outsource,$2 to $5 billion (USD),TEKsystems,Data Scientist,1562355.0,1562355.0,4.2,57.0,23.0,20.0,30.0,27.0,15.0,Banglore,No
New Joursey,1001 to 5000 Employees,25.0,Private,Information Technology,$100 to $500 million (USD),Marlabs,Data Scientist,1158198.38,1142503.68,3.9,55.0,15.0,29.0,40.0,26.0,11.0,Banglore,No
India,1001 to 5000 Employees,6.0,Private,Education,$10 to $25 million (USD),upGrad,Data Scientist,1943978.0,1943978.0,3.2,57.0,28.0,15.0,43.0,22.0,18.0,Banglore,No
New Joursey,51 to 200 Employees,6.0,Private,Consulting,$5 to $10 million (USD),Analytical Wizards,Data Scientist,554609.5,554609.5,4.8,63.94645441389291,25.77729257641921,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
California,51 to 200 Employees,3.0,Private,Information Technology,$25 to $50 million (USD),Hypersonix (CA),Data Scientist,3074279.0,3074279.0,3.5,100.0,50.0,50.0,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
Netherlands,10000+ Employees,34.0,Private,Consulting,$1 to $2 billion (USD),KPMG,Data Scientist,856732.0,856732.0,3.8,71.0,10.0,19.0,48.0,28.0,10.0,Banglore,No
India,1001 to 5000 Employees,25.0,Private,Information Technology,$100 to $500 million (USD),Mercedes-Benz Research and Development India,Data Scientist,1318956.0,1318956.0,3.6,58.0,27.0,16.0,32.0,20.0,15.0,Banglore,No
India,10000+ Employees,110.0,Public,Information Technology,$10+ billion (USD),IBM,Data Scientist,342828.0,342828.0,3.9,69.0,12.0,19.0,43.0,22.0,14.0,Banglore,No
India,1001 to 5000 Employees,20.0,Private,Information Technology,$5 to $10 million (USD),Molecular Connections,Data Scientist,41946.0,41946.0,3.5,35.0,32.0,32.0,48.0,14.0,14.0,Banglore,No
California,5001 to 10000 Employees,19.0,Public,Information Technology,$2 to $5 billion (USD),Aruba Networks,Data Scientist,1485894.0,1485894.0,4.1,54.0,36.0,10.0,30.0,21.0,20.0,Banglore,No
India,201 to 500 Employees,15.0,Private,Information Technology,$10+ billion (USD),Head Digital Works,Data Scientist,1337038.0,1337038.0,4.5,57.0,43.0,54.0,23.0,8.0,13.633165829145726,Banglore,No
Missouri,1 to 50 Employees,74.0,Private,Telecommunication/Television,$10+ billion (USD),TCS,Data Scientist,1309745.5,1309745.5,4.0,72.0,9.0,19.0,49.0,33.0,5.0,Banglore,No
New York,51 to 200 Employees,11.0,Private,Healthcare Medicine,$10 to $25 million (USD),Prognos Health,Data Scientist,130192.5,130192.5,3.3,50.0,50.0,100.0,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
United Kingdom,10000+ Employees,149.0,Public,Manufacturing,$10+ billion (USD),Unilever,Data Scientist,1683826.5,1683826.5,4.2,64.0,12.0,23.0,70.0,13.0,5.0,Banglore,No
Pennsylvania,10000+ Employees,135.0,Public,Information Technology,$2 to $5 billion (USD),Unisys,Data Scientist,1096495.0,1096495.0,3.6,67.0,16.0,17.0,27.0,21.0,18.0,Banglore,No
California,501 to 1000 Employees,10.0,Private,Consulting,$10 to $25 million (USD),Tiger Analytics,Data Scientist,624953.5,624953.5,4.4,54.0,40.0,6.0,44.0,27.0,13.0,Banglore,No
Illinois,5001 to 10000 Employees,129.0,Private,Healthcare Medicine,$10+ billion (USD),GE Healthcare,Data Scientist,1158198.38,1142503.68,4.0,65.0,17.0,18.0,43.0,18.0,15.0,Banglore,No
India,1 to 50 Employees,3.0,Private,Information Technology,$25 to $50 million (USD),Terra Economics and Analytics Lab,Data Scientist,752900.5,752900.5,4.9,63.94645441389291,25.77729257641921,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
India,51 to 200 Employees,9.0,Private,Information Technology,$2 to $5 billion (USD),Data Semantics,Data Scientist,1322469.0,1322469.0,3.8,44.0,56.0,38.0,25.0,25.0,13.633165829145726,Banglore,No
California,501 to 1000 Employees,17.0,Private,Information Technology,$50 to $100 million (USD),Netenrich Inc.,Data Scientist,1146227.5,1142503.68,3.9,53.0,38.0,9.0,24.0,24.0,17.0,Banglore,No
India,51 to 200 Employees,3.0,Private,Information Technology,$25 to $50 million (USD),SalesKen,Data Scientist,1023370.5,1023370.5,4.2,13.0,63.0,25.0,71.0,14.0,14.0,Banglore,No
Germany,51 to 200 Employees,7.0,Private,Information Technology,$25 to $50 million (USD),Zeotap,Data Scientist,887812.0,887812.0,3.9,33.0,33.0,33.0,70.0,10.0,10.0,Banglore,No
India,201 to 500 Employees,12.0,Private,Consulting,$10+ billion (USD),Cartesian Consulting,Data Scientist,932585.5,932585.5,3.1,67.0,17.0,17.0,65.0,24.0,6.0,Banglore,No
India,1001 to 5000 Employees,35.0,Public,Information Technology,$100 to $500 million (USD),Sonata Software,Data Scientist,621418.0,621418.0,3.7,64.0,20.0,16.0,46.0,16.0,12.0,Banglore,No
Illinois,10000+ Employees,105.0,Public,Government Agencies,$10+ billion (USD),Boeing,Data Scientist,2226582.0,2226582.0,3.8,67.0,11.0,22.0,61.0,18.0,6.0,Banglore,No
California,1 to 50 Employees,6.0,Public,Information Technology,$1 to $5 million (USD),FOKAL,Data Scientist,1087008.5,1087008.5,4.3,100.0,100.0,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
Illinois,10000+ Employees,96.0,Public,Manufacturing,$10+ billion (USD),Caterpillar,Data Scientist,1203581.0,1203581.0,3.9,71.0,8.0,21.0,36.0,34.0,8.0,Banglore,No
Denmark,10000+ Employees,93.0,Private,Transportation,$10+ billion (USD),MAERSK,Data Scientist,2113811.5,2113811.5,4.0,61.0,20.0,19.0,56.0,11.0,10.0,Banglore,No
Missouri,10000+ Employees,42.0,Public,Information Technology,$5 to $10 billion (USD),Cerner,Data Scientist,1394219.0,1394219.0,3.8,77.0,9.0,14.0,47.0,21.0,15.0,Banglore,No
India,1001 to 5000 Employees,22.0,Private,Information Technology,$50 to $100 million (USD),Comviva,Data Scientist,67224.5,67224.5,3.5,67.0,15.0,18.0,65.0,10.0,9.0,Banglore,No
Washington,10000+ Employees,46.0,Public,Information Technology,$10+ billion (USD),Microsoft,Data Scientist,978127.0,978127.0,4.4,66.0,13.0,21.0,33.0,30.0,15.0,Banglore,No
India,51 to 200 Employees,6.0,Private,Information Technology,$25 to $50 million (USD),Locus,Data Scientist,2430625.5,2430625.5,4.5,38.0,51.0,11.0,55.0,21.0,18.0,Banglore,No
Texas,10000+ Employees,95.0,Public,Government Agencies,$10+ billion (USD),Schlumberger,Data Scientist,1066645.5,1066645.5,3.7,73.0,9.0,17.0,51.0,26.0,10.0,Banglore,No
India,1001 to 5000 Employees,15.0,Private,Information Technology,$10+ billion (USD),MagicBricks,Data Scientist,1668698.5,1668698.5,4.2,49.0,41.0,10.0,35.0,18.0,18.0,Banglore,No
India,1 to 50 Employees,1.0,Private,Information Technology,$25 to $50 million (USD),Alackrity Consols,Data Scientist,393251.0,393251.0,3.7,63.94645441389291,25.77729257641921,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
India,5001 to 10000 Employees,63.0,Public,Government Agencies,$1 to $2 billion (USD),Defence Research & Development Organisation,Data Scientist,346687.5,346687.5,4.3,77.0,3.0,19.0,42.0,25.0,11.0,Banglore,No
North Carolina,10000+ Employees,136.0,Public,Information Technology,$10+ billion (USD),Honeywell,Data Scientist,852784.0,852784.0,3.7,64.0,16.0,20.0,39.0,21.0,13.0,Banglore,No
India,1001 to 5000 Employees,21.0,Public,Information Technology,$100 to $500 million (USD),MakeMyTrip,Data Scientist,1393158.0,1393158.0,4.3,49.0,38.0,13.0,24.0,22.0,20.0,Banglore,No
Illinois,1001 to 5000 Employees,22.0,Public,Information Technology,$100 to $500 million (USD),Yodlee,Data Scientist,463586.0,463586.0,3.6,59.0,24.0,16.0,38.0,18.0,16.0,Banglore,No
Singapore,201 to 500 Employees,16.0,Private,Information Technology,$10+ billion (USD),Affle,Data Scientist,908269.5,908269.5,4.0,35.0,41.0,24.0,50.0,21.0,14.0,Banglore,No
India,1 to 50 Employees,1.0,Private,Banking/Finance,$25 to $50 million (USD),HDFC Standard Life,Data Scientist,816744.5,816744.5,4.0,43.0,14.0,43.0,43.0,29.0,14.0,Banglore,No
Ohio,51 to 200 Employees,26.0,Private,Outsource,$1 to $2 billion (USD),K & K Technical Group,Data Scientist,208235.0,208235.0,3.6,100.0,100.0,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
Texas,10000+ Employees,151.0,Public,Government Agencies,$10+ billion (USD),ExxonMobil,Data Scientist,2790630.0,2790630.0,3.4,73.0,7.0,20.0,46.0,36.0,6.0,Banglore,No
New Joursey,10000+ Employees,27.0,Public,Consulting,$10+ billion (USD),Cognizant Technology Solutions,Data Scientist,412766.5,412766.5,3.7,73.0,13.0,14.0,43.0,23.0,10.0,Banglore,No
Malaysia,10000+ Employees,65.0,Public,Banking/Finance,$10+ billion (USD),Maybank,Data Scientist,665021.5,665021.5,3.7,60.0,17.0,23.0,48.0,16.0,15.0,Banglore,No
India,51 to 200 Employees,14.0,Private,Information Technology,$10+ billion (USD),Raja Software Labs,Data Scientist,524690.0,524690.0,3.9,54.0,25.0,21.0,38.0,35.0,6.0,Banglore,No
Ireland,10000+ Employees,32.0,Public,Consulting,$10+ billion (USD),Accenture,Data Scientist,858294.0,867282.0,4.0,70.0,13.0,17.0,37.0,29.0,12.0,Banglore,No
France,10000+ Employees,157.0,Public,Banking/Finance,$10+ billion (USD),Société Générale,Data Scientist,1718752.0,1849059.0,3.7,62.0,17.0,21.0,42.0,21.0,11.0,Banglore,No
India,1 to 50 Employees,3.0,Private,Information Technology,$25 to $50 million (USD),Yottaasys,Data Scientist,1448376.5,1448376.5,3.6,63.94645441389291,25.77729257641921,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
Minnesota,10000+ Employees,65.0,Public,Healthcare Medicine,$10+ billion (USD),UnitedHealthCare,Data Scientist,802576.0,802576.0,3.6,69.0,13.0,18.0,68.0,13.0,10.0,Banglore,No
Virginia,1 to 50 Employees,1.0,Public,Information Technology,$1 to $5 million (USD),Alfonso & Associates Consulting,Data Scientist,3440334.5,3440334.5,4.2,100.0,100.0,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
Minnesota,10000+ Employees,65.0,Public,Healthcare Medicine,$10+ billion (USD),UnitedHealthCare,Data Scientist,804632.0,804632.0,3.6,69.0,13.0,18.0,68.0,13.0,10.0,Banglore,No
Virginia,1 to 50 Employees,1.0,Public,Information Technology,$1 to $5 million (USD),Alfonso & Associates Consulting,Data Scientist,3449652.5,3449652.5,4.2,100.0,100.0,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
California,201 to 500 Employees,7.0,Private,Information Technology,$100 to $500 million (USD),Postman,Data Scientist,1318410.0,1318410.0,4.4,44.0,39.0,17.0,64.0,16.0,8.0,Banglore,No
Brazil,51 to 200 Employees,21.0,Private,Information Technology,$1 to $2 billion (USD),Vsoft,Data Scientist,453958.0,453958.0,4.4,100.0,100.0,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
Netherlands,10000+ Employees,34.0,Private,Consulting,$1 to $2 billion (USD),KPMG,Data Scientist,223724.0,223724.0,3.8,71.0,10.0,19.0,48.0,28.0,10.0,Banglore,No
Netherlands,10000+ Employees,130.0,Public,Manufacturing,$5 to $10 billion (USD),Signify,Data Scientist,985801.0,985801.0,3.6,74.0,15.0,11.0,61.0,15.0,13.0,Banglore,No
India,51 to 200 Employees,4.0,Private,Information Technology,$25 to $50 million (USD),dhiOmics Analytics Solutions,Data Scientist,318781.0,318781.0,4.6,92.0,8.0,67.0,25.0,8.0,13.633165829145726,Banglore,No
Georgia,501 to 1000 Employees,12.0,Private,Banking/Finance,$100 to $500 million (USD),Kabbage,Data Scientist,394178.0,394178.0,3.8,76.0,17.0,6.0,38.0,33.0,16.0,Banglore,No
Illinois,1 to 50 Employees,1.0,Private,Information Technology,$25 to $50 million (USD),Acies,Data Scientist,404822.0,404822.0,4.1,69.0,15.0,15.0,67.0,25.0,8.0,Banglore,No
North Carolina,1 to 50 Employees,13.0,Private,Information Technology,$1 to $5 million (USD),dataZen Engineering,Data Scientist,14907.0,14907.0,4.3,100.0,100.0,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
India,1 to 50 Employees,6.0,Private,Information Technology,$25 to $50 million (USD),Loyalytics Consulting,Data Scientist,839478.5,839478.5,3.8,63.94645441389291,25.77729257641921,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
India,51 to 200 Employees,10.0,Private,Information Technology,$10+ billion (USD),Trinity Mobility,Data Scientist,618738.5,618738.5,4.0,73.0,20.0,7.0,33.0,27.0,13.0,Banglore,No
Nevada,201 to 500 Employees,23.0,Private,Banking/Finance,$25 to $50 million (USD),Dollar Loan Center,Data Scientist,993880.0,993880.0,3.6,75.0,19.0,6.0,75.0,19.0,6.0,Banglore,No
India,1 to 50 Employees,1.0,Private,Information Technology,$25 to $50 million (USD),Gradatim,Data Scientist,696948.0,696948.0,3.4,63.94645441389291,25.77729257641921,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
India,10000+ Employees,178.0,Public,Manufacturing,$10+ billion (USD),Siemens,Data Scientist,482359.5,482359.5,4.1,67.0,14.0,19.0,46.0,20.0,11.0,Banglore,No
California,1 to 50 Employees,1.0,Private,Manufacturing,Less than $1 million (USD),Losch Engineering,Data Scientist,1189485.5,1189485.5,5.0,63.94645441389291,25.77729257641921,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Banglore,No
India,1001 to 5000 Employees,44.0,Public,Banking/Finance,$10+ billion (USD),Hdfc,Data Scientist,63230.0,40543.0,3.7,64.0,8.0,28.0,54.0,13.0,11.0,Banglore,No
India,1001 to 5000 Employees,6.0,Private,Information Technology,$10+ billion (USD),JoulestoWatts Business Solutions,Data Scientist,794599.5,794599.5,3.3,53.0,37.0,11.0,31.0,25.0,13.0,Banglore,No
Denmark,10000+ Employees,150.0,Public,Banking/Finance,$10+ billion (USD),Danske Bank,Data Scientist,1418547.0,1418547.0,3.8,66.0,22.0,12.0,61.0,11.0,11.0,Banglore,No
Arizona,1001 to 5000 Employees,18.0,Private,Information Technology,$10+ billion (USD),Encora,Data Scientist,1674044.0,1674044.0,4.3,48.0,29.0,24.0,44.0,38.0,19.0,Banglore,No
California,10000+ Employees,37.0,Private,Information Technology,$10+ billion (USD),Cisco Systems,Data Scientist,1476701.0,1476701.0,4.4,69.0,11.0,19.0,32.0,30.0,18.0,Banglore,No
India,51 to 200 Employees,6.0,Private,Healthcare Medicine,$25 to $50 million (USD),Tricog Health Services,Data Scientist,724444.0,724444.0,4.3,33.0,33.0,33.0,100.0,21.65818759936407,13.633165829145726,Banglore,No
Texas,501 to 1000 Employees,35.0,Private,Information Technology,$10+ billion (USD),Symphony RetailAI,Data Scientist,1926190.0,1926190.0,4.4,58.0,32.0,11.0,33.0,28.0,22.0,Banglore,No
South Korea,10000+ Employees,52.0,Public,Information Technology,$10+ billion (USD),Samsung Electronics,Data Scientist,2404662.5,2404662.5,3.7,60.0,16.0,24.0,39.0,22.0,14.0,Banglore,No
India,1001 to 5000 Employees,11.0,Private,Information Technology,$10+ billion (USD),Paytm,Data Scientist,729369.0,729369.0,3.5,47.0,39.0,15.0,26.0,23.0,23.0,Banglore,No
India,5001 to 10000 Employees,53.0,Private,Banking/Finance,$10+ billion (USD),Citicorp Services India,Data Scientist,1046745.5,1046745.0,3.8,58.0,23.0,19.0,48.0,24.0,13.0,Banglore,No
Washington,51 to 200 Employees,12.0,Private,Consulting,$10+ billion (USD),The Alacer Group,Data Scientist,1526778.0,1526778.0,4.5,50.0,25.0,25.0,67.0,33.0,13.633165829145726,Banglore,No
India,5001 to 10000 Employees,186.0,Public,Banking/Finance,$10+ billion (USD),ANZ Bank,Data Scientist,1469158.0,1469158.0,4.1,66.0,15.0,19.0,48.0,16.0,14.0,Banglore,No
